,score,studio,number_episodes,demographics,emission_type,month,members,action,comedy,ecchi,slice_of_life,sports,drama and romance,adventure and fantasy,mystery and horror,sci_fi and supernatural,Cluster
413,8.14,toei_animation,1.0,shounen,movie,12.0,262269.0,1,0,0,0,0,0,2,0,0,0
417,8.14,pierrot,170.0,shounen,tv,10.0,1531564.0,1,1,0,0,0,0,1,0,0,2
421,8.14,otros_estudios,12.0,seinen,tv,4.0,483592.0,0,1,0,0,0,0,0,0,1,0
423,8.13,shin_ei_animation,1.0,kids,movie,3.0,13229.0,0,1,0,0,0,0,2,0,0,0
424,8.13,otros_estudios,12.0,seinen,tv,1.0,316685.0,0,1,0,0,0,0,1,0,0,0
425,8.13,production_i_g,1.0,shounen,movie,9.0,79451.0,0,0,0,0,1,0,0,0,0,0
426,8.13,otros_estudios,12.0,shounen,ona,9.0,199818.0,1,0,0,0,0,0,1,0,1,0
427,8.13,otros_estudios,203.0,shounen,tv,10.0,541837.0,1,1,0,0,0,0,0,0,0,2
429,8.13,otros_estudios,12.0,shounen,tv,4.0,116543.0,0,0,0,0,0,2,1,0,0,0
431,8.12,sunrise,13.0,shounen,tv,4.0,20090.0,1,0,0,0,0,0,0,0,1,0
432,8.12,toei_animation,1.0,shounen,special,8.0,66206.0,1,0,0,0,0,0,2,0,0,0
433,8.12,bones,25.0,shounen,tv,4.0,2393705.0,1,0,0,0,0,0,0,0,0,2
434,8.12,tms_entertainment,1.0,shounen,movie,4.0,60547.0,0,1,0,0,0,0,1,1,0,0
435,8.12,tokyo_movie_shinsha,1.0,shounen,movie,4.0,54053.0,1,0,0,0,0,0,0,1,0,0
437,8.12,sunrise,1.0,shounen,special,4.0,39285.0,1,1,0,0,0,0,0,0,1,0
441,8.11,production_i_g,1.0,seinen,special,9.0,97108.0,0,0,0,0,0,0,0,1,1,0
442,8.11,brain_base,11.0,josei,tv,10.0,226040.0,0,1,0,0,0,0,0,0,0,0
443,8.11,otros_estudios,3.0,shounen,ova,9.0,270681.0,0,0,0,0,0,1,1,0,0,0
444,8.11,j_c_staff,6.0,shounen,ona,12.0,207272.0,0,1,0,0,0,0,0,0,1,0
446,8.11,otros_estudios,12.0,seinen,ova,8.0,204237.0,0,1,0,0,0,0,0,0,0,0
447,8.11,production_i_g,75.0,shounen,tv,10.0,234559.0,0,0,0,0,1,0,0,0,0,0
449,8.11,bones,51.0,shounen,tv,10.0,1419828.0,1,0,0,0,0,1,2,0,0,2
450,8.11,otros_estudios,1.0,shounen,special,11.0,32942.0,1,1,0,0,0,0,0,0,0,0
453,8.1,pierrot,3.0,shoujo,ova,9.0,128512.0,1,0,0,0,0,0,2,0,0,0
