,score
4847,6.8
12087,4.85
4808,6.81
4250,6.94
346,8.2
8383,6.11
3378,7.14
12475,4.21
6123,6.55
5497,6.67
4816,6.81
5805,6.61
12275,4.67
2455,7.31
4706,6.84
5595,6.65
10533,5.59
3413,7.13
11020,5.43
7377,6.31
971,7.77
9543,5.86
9641,5.83
4007,7.0
7248,6.34
1201,7.67
5030,6.76
5576,6.66
8709,6.05
6247,6.53
9737,5.8
3948,7.01
9187,5.94
12121,4.82
9351,5.9
4679,6.84
9044,5.97
3111,7.19
9897,5.76
8019,6.19
10768,5.52
8596,6.07
4448,6.89
6594,6.46
3105,7.19
4407,6.9
11679,5.15
1683,7.51
1457,7.57
6991,6.39
2802,7.24
5318,6.71
5259,6.72
1350,7.62
11459,5.25
8242,6.14
8309,6.13
7092,6.37
9636,5.83
6664,6.45
8664,6.06
2798,7.25
210,8.35
11025,5.43
9441,5.88
651,7.95
12171,4.78
12517,3.91
11378,5.3
10056,5.72
5703,6.64
3221,7.17
8170,6.15
1608,7.53
10774,5.51
5107,6.75
12113,4.83
12501,4.09
484,8.08
10545,5.59
10519,5.6
398,8.16
9601,5.84
908,7.8
8122,6.17
592,8.0
1250,7.65
9354,5.9
12105,4.84
2375,7.33
8126,6.16
12523,3.86
7698,6.26
4810,6.81
12443,4.36
3473,7.12
6203,6.54
7198,6.35
764,7.88
6658,6.45
582,8.01
9591,5.84
4607,6.86
3429,7.13
2348,7.34
8736,6.04
9554,5.85
12520,3.87
10558,5.58
4292,6.93
9293,5.92
12388,4.5
7085,6.37
2820,7.24
1786,7.48
3013,7.2
1662,7.52
3617,7.09
6243,6.53
9025,5.98
6105,6.55
12355,4.56
3708,7.06
5202,6.73
5612,6.65
11904,5.01
8928,6.0
6632,6.46
1530,7.55
1275,7.64
10394,5.63
7318,6.33
2318,7.34
11430,5.27
8276,6.13
9853,5.77
1934,7.44
7971,6.2
4351,6.91
11797,5.08
1188,7.68
1945,7.43
2221,7.37
1586,7.54
6648,6.46
7048,6.38
10538,5.59
7712,6.25
4755,6.82
9992,5.74
3422,7.13
4639,6.85
5344,6.71
11861,5.05
8079,6.17
3458,7.12
9797,5.79
4484,6.88
6330,6.52
7238,6.34
11293,5.33
7634,6.27
5635,6.65
11222,5.35
6961,6.4
9529,5.86
1496,7.56
5019,6.76
1747,7.49
248,8.29
2337,7.34
4447,6.89
9941,5.75
562,8.02
2227,7.36
3048,7.2
5381,6.7
8540,6.08
11235,5.35
914,7.8
7640,6.27
10551,5.58
7484,6.3
7030,6.38
11473,5.25
3501,7.11
7020,6.39
862,7.83
3351,7.14
8361,6.12
4981,6.77
3244,7.16
1320,7.62
3942,7.01
7608,6.27
8658,6.06
12595,2.22
180,8.39
9043,5.97
10566,5.58
6041,6.56
8979,5.99
8649,6.06
7416,6.31
7231,6.35
2447,7.32
5697,6.64
8351,6.12
6312,6.52
10419,5.62
8129,6.16
2614,7.28
2900,7.23
7624,6.27
9910,5.76
1210,7.67
9169,5.95
10332,5.65
9649,5.83
900,7.81
3851,7.03
5129,6.74
4868,6.8
5608,6.65
12193,4.76
3692,7.07
10290,5.66
9244,5.93
92,8.57
6080,6.56
4329,6.92
2218,7.37
11831,5.07
11171,5.37
4392,6.9
7931,6.21
4393,6.9
8799,6.03
5225,6.73
5282,6.72
10423,5.62
7868,6.22
3204,7.17
1084,7.72
12336,4.59
2611,7.28
8405,6.11
2807,7.24
5174,6.73
2856,7.23
3379,7.14
9161,5.95
8273,6.13
10221,5.68
1396,7.59
1430,7.58
9455,5.88
4325,6.92
408,8.14
5493,6.67
6909,6.41
2270,7.35
5066,6.76
2087,7.4
4918,6.79
10102,5.71
7292,6.33
4353,6.91
2127,7.39
11759,5.1
2963,7.22
9896,5.76
7139,6.36
